Actor id is: 101
Model is: tfidf
['love', 0.2025881800002983]
['haunted', 0.17012915173978527]
['murder', 0.1646708876554018]
['horrifying', 0.16371161992372563]
['mysterious', 0.16371159568876387]
['killer', 0.15818643882264402]
['artillery', 0.08830674644778932]
['christmas', 0.08830674644778932]
['game', 0.08830674644778932]
['mansion', 0.08830674644778932]
['guns', 0.08182240529199593]
['soccer', 0.08182240529199593]
['detective', 0.08182240529199593]
['conspiracy', 0.07636414120761247]
['dream', 0.07636414120761247]
['cricket', 0.07636414120761247]
['hitler', 0.07636403353064808]
['friendship', 0.07636403353064808]
['challenge', 0.07636403353064808]
['maths', 0.06990572027235799]
['genius', 0.06990570899311781]
['boxing', 0.06990570899311781]
['hardwork', 0.06990570899311781]
['based on true story', 0.06988947066275038]
['failure', 0.06988947066275038]
['open source', 0.06988947066275038]
['linux', 0.06988947066275038]
