Genre 1 is: Adventure
Genre 2 is: Action
Model is: P-DIFF1
['disney', 0.5086505696369579]
['robots', 0.36133233028684997]
['big budget', 0.36133233028684997]
['very good', 0.36133233028684997]
['animation', 0.2882872804464019]
['pirates', 0.2882872804464019]
['fun', 0.2882872804464019]
['redemption', 0.2882872804464019]
['talking animals', 0.2156398055834525]
['scenic', 0.2156398055834525]
['unique', 0.2156398055834525]
['magic', 0.2156398055834525]
['new york city', 0.2156398055834525]
['adventure', 0.2156398055834525]
['swashbuckler', 0.2156398055834525]
['cartoon', 0.2156398055834525]
['dinosaurs', 0.2156398055834525]
['fish', 0.2156398055834525]
['computer animation', 0.2156398055834525]
['new york', 0.2156398055834525]
['oscar (best animated feature)', 0.2156398055834525]
['pg', 0.2156398055834525]
['dreamworks', 0.2156398055834525]
['satire', 0.2156398055834525]
['predictable', 0.2156398055834525]
['peter pan', 0.2156398055834525]
['alter ego', 0.2156398055834525]
['adapted from:comic', 0.2156398055834525]
['super hero', 0.2156398055834525]
['futuristic', 0.2156398055834525]
['dynamic cgi action', 0.18172926666648576]
['mutants', 0.14338146814123848]
['irreverent', 0.14338146814123848]
['based on a video game', 0.14338146814123848]
['bond', 0.14338146814123848]
['pixar', 0.14338146814123848]
['australia', 0.14338146814123848]
['soccer', 0.14338146814123848]
['harry potter', 0.14338146814123848]
['cute!', 0.14338146814123848]
['video game', 0.14338146814123848]
['sports', 0.14338146814123848]
['nuclear', 0.14338146814123848]
['james bond', 0.14338146814123848]
['road trip', 0.14338146814123848]
['football', 0.14338146814123848]
['touching', 0.14338146814123848]
['brilliant', 0.14338146814123848]
['historical', 0.14338146814123848]
['fairy tales', 0.14338146814123848]
['england', 0.14338146814123848]
['animal movie', 0.14338146814123848]
['mountain climbing', 0.14338146814123848]
['wizards', 0.14338146814123848]
['wine', 0.14338146814123848]
['special effects', 0.14338146814123848]
['submarine', 0.14338146814123848]
['survival', 0.14338146814123848]
['steampunk', 0.14338146814123848]
['aviation', 0.14338146814123848]
['god', 0.14338146814123848]
['kids', 0.14338146814123848]
['oscar (best cinematography)', 0.14338146814123848]
['fairy tale', 0.14338146814123848]
['great', 0.14338146814123848]
['guilty pleasure', 0.14338146814123848]
['very funny', 0.14338146814123848]
['ocean', 0.14338146814123848]
['waste of time', 0.14338146814123848]
['dragons', 0.14338146814123848]
['romance', 0.14338146814123848]
['london', 0.14338146814123848]
['anime', 0.14338146814123848]
['obsession', 0.14338146814123848]
['artificial intelligence', 0.14338146814123848]
['politics', 0.14338146814123848]
['alternate universe', 0.14338146814123848]
['star wars', 0.14338146814123848]
['video games', 0.14338146814123848]
['enigmatic', 0.14338146814123848]
['nudity (rear)', 0.14338146814123848]
['funny as hell', 0.14338146814123848]
['computer game', 0.14338146814123848]
['memory loss', 0.14338146814123848]
['ridiculous', 0.14338146814123848]
['sci fi', 0.14338146814123848]
['kick-butt women', 0.14338146814123848]
['epic', 0.14338146814123848]
['animated', 0.14338146814123848]
['disney animated feature', 0.14338146814123848]
['post apocalyptic', 0.14338146814123848]
['saturn award (best special effects)', 0.14338146814123848]
['treasure hunt', 0.14338146814123848]
['buddy movie', 0.14338146814123848]
['culture clash', 0.14338146814123848]
['sex', 0.14338146814123848]
['bullshit history', 0.14338146814123848]
['feel good movie', 0.14338146814123848]
['fantasy', 0.14338146814123848]
['hilarious', 0.14338146814123848]
['monsters', 0.14338146814123848]
['puppets', 0.14338146814123848]
['melancholic', 0.14338146814123848]
['ghosts', 0.14338146814123848]
['too long', 0.14338146814123848]
['book was better', 0.14338146814123848]
['medieval', 0.14338146814123848]
['witch', 0.14338146814123848]
['relationships', 0.14338146814123848]
['oscar winner', 0.14338146814123848]
['transformation', 0.14338146814123848]
['middle east', 0.14338146814123848]
['horses', 0.14338146814123848]
['torture', 0.14338146814123848]
['india', 0.14338146814123848]
['treasure', 0.14338146814123848]
['series', 0.14338146814123848]
['chick flick', 0.14338146814123848]
['notable nudity', 0.14338146814123848]
['cgi', 0.14338146814123848]
['disturbing', 0.14338146814123848]
