User id is: 30167
Model is: tfidf
['nudity (topless)', 0.06931034145950396]
['time travel', 0.05462895249410601]
['surreal', 0.0546260852578407]
['comedy', 0.04855581286754921]
['nudity (topless - notable)', 0.04789213055702614]
['nudity (full frontal - notable)', 0.04689867890833433]
['zombies', 0.040986273971585344]
['drama', 0.03074124455474375]
['remake', 0.03047835558621735]
['psychology', 0.028149871896958435]
['spelling bee', 0.027752970961296655]
['parody', 0.02742915726710727]
['serial killer', 0.02728265591892619]
['sci-fi', 0.02660372819126827]
['world war ii', 0.024769793120368325]
['romance', 0.024564497199779177]
['based on a book', 0.024417787730276107]
['nudity (rear)', 0.023608508465351678]
['lesbian', 0.022583998999908383]
['comic book', 0.02239361470368821]
['heist', 0.021955266851444336]
['hannibal lecter', 0.020709209916666287]
['oscar (best actor)', 0.020569155885254303]
['fairy tale', 0.020304529941141177]
['bdsm', 0.019898310553139942]
['wine', 0.01970055534664338]
['teen', 0.019172493087371328]
['funny', 0.01915865243062299]
['super-hero', 0.019142357187411408]
['fantasy', 0.018973188856922056]
['memory', 0.018881675866564303]
['nudity (topless - brief)', 0.018442040912837018]
['thriller', 0.01776030469405741]
['mindfuck', 0.017499196470043908]
['drugs', 0.017387517196523008]
['violent', 0.01661769339149054]
['boring', 0.016398205147246662]
['animation', 0.016235400993976003]
['australian', 0.01611100916020525]
['sexuality', 0.015782505025483083]
['very good', 0.01565411005394981]
['hilarious', 0.015569682447523528]
['adolescence', 0.015473756108673551]
['true story', 0.01538872814461611]
['chick flick', 0.015205849547878477]
['cinematography', 0.013835736627380963]
['quirky', 0.013465882631564636]
['directorial debut', 0.013372106687949161]
['funniest movies', 0.013276046832083338]
['funny as hell', 0.012625393550822993]
['crime', 0.012588453179183244]
['stupid', 0.012472536724040757]
['not funny', 0.012225530665033268]
['family', 0.012174953929242224]
['action', 0.012094607385916462]
['teen movie', 0.011581967386102038]
['video game adaptation', 0.01141918967409931]
['surrealism', 0.011400850533253598]
['overrated', 0.010598046730392746]
['aliens', 0.009944894379456374]
['police', 0.00985299038100896]
['mystery', 0.009825818087464236]
['horror', 0.009750224155956364]
['rock and roll', 0.009593202504439326]
['girlie movie', 0.009501457337000363]
['notable nudity', 0.00931199119024809]
['switching places', 0.009103473237382243]
['god', 0.009095444355708701]
['sequel', 0.009063304845825246]
['depressing', 0.009043428437347636]
['high school', 0.00890350352840449]
['psychological', 0.008775029916164807]
['murder', 0.008755361013959873]
['wedding', 0.008630178390471916]
['zombie', 0.008486484361639752]
['interesting', 0.00844081269615703]
['nudity (full frontal)', 0.008411414764826524]
['scary', 0.008401290976788468]
['oscar (best music - original song)', 0.008393154677310994]
['good romantic comedies', 0.008350014796497393]
['death', 0.0083330558029476]
['art', 0.00829807274773059]
['martial arts', 0.008237070544430023]
['satire', 0.008230704476587586]
['erotic', 0.008163976922621987]
['pg', 0.008141176389123362]
['life & death', 0.008050888131698433]
['weird', 0.008025290139358147]
['artistic', 0.00801910095158975]
['imdb top 250', 0.007747370229193054]
['biography', 0.007734578250260278]
['computer animation', 0.007719540058744965]
['hip hop', 0.007709077243817196]
['guilty pleasure', 0.0075190339232667205]
['london', 0.007487679930724667]
['comics', 0.007465471527842754]
['island', 0.007399436389042705]
['british', 0.007308869015007421]
['musicians', 0.007249994512568091]
['tragedy', 0.007231728159751892]
['best war films', 0.007209870432751838]
['dinosaurs', 0.007159507722609214]
['cannibalism', 0.007069335140581127]
['bizarre', 0.007004469181637338]
['stupid as hell', 0.0069165231872364424]
['lame', 0.006842424083089323]
['cool', 0.006831572378453043]
['kidnapping', 0.006816241864273495]
['president', 0.006814277658826792]
['sex', 0.006808980871555971]
['college', 0.0067243976966924945]
['anime', 0.006621280827478493]
['affectionate', 0.006576506774144531]
['melancholic', 0.006563395916719841]
['sad but good', 0.006546776477140959]
['music', 0.006515567919035534]
['cheerleading', 0.006485267568331213]
['shark', 0.006458423081627311]
['imagination', 0.006438938412597572]
['romantic', 0.0064258863281815605]
['good', 0.006404646840245728]
['las vegas', 0.006382705698863437]
['war', 0.006337439979473508]
['oscar (best actress)', 0.006323785502921691]
['nudity (full frontal - brief)', 0.006214974456799858]
['superhero', 0.006062643312771079]
['classic', 0.00602964406811257]
['plot holes', 0.005907103207264081]
['unique', 0.005906557636820873]
['fun movie', 0.0058431454567487336]
['exceptional acting', 0.005840040960962933]
['slapstick', 0.005815271710091293]
['cute', 0.005730568488208186]
['clowns', 0.005720713956565366]
['based on a true story', 0.005692988144548964]
['mental illness', 0.005573286461224713]
['women', 0.0055429174605193775]
['silly', 0.00551821045420813]
['stupidity', 0.005511471294261891]
['immigrants', 0.005452278949633341]
['san francisco', 0.005436477624146047]
['virus', 0.005435221663776052]
['surprise ending', 0.0054054891506618115]
['sexy', 0.005360957679903469]
['disappointing', 0.00535140071724224]
['fun', 0.005328558573673439]
['capitalism', 0.005249392636029571]
['relationships', 0.00522140897780208]
['sports', 0.005171670837914373]
['adapted from:game', 0.005152231454821226]
['gore', 0.0051120852884913364]
['fairy tales', 0.005099329588039617]
['sad', 0.005017012466840913]
['caper', 0.004953991152651622]
['biographical', 0.004787122979950295]
['biopic', 0.004762850977896878]
['crappy sequel', 0.0047385010170003196]
['competition', 0.0046784490982146945]
['black comedy', 0.004677174965643623]
